lang,precision,recall,f1-score
ace,0.99,0.98,0.99
afr,1.0,1.0,1.0
als,0.92,0.92,0.92
amh,0.75,0.8,0.77
ang,0.9,0.93,0.92
ara,0.94,0.93,0.94
arg,0.97,0.98,0.98
arz,0.93,0.94,0.94
asm,0.99,0.96,0.98
ast,1.0,0.94,0.97
ava,0.81,0.83,0.82
aym,0.94,0.95,0.94
azb,0.99,0.99,0.99
aze,0.99,0.97,0.98
bak,1.0,0.97,0.99
bar,0.83,0.91,0.87
bcl,0.98,0.96,0.97
be-tarask,0.94,0.8,0.86
bel,0.83,0.92,0.87
ben,0.97,0.92,0.95
bho,0.98,0.93,0.96
bjn,0.92,0.9,0.91
bod,1.0,1.0,1.0
bos,0.5,0.72,0.59
bpy,0.99,0.99,0.99
bre,0.99,0.98,0.99
bul,1.0,0.96,0.98
bxr,0.98,0.91,0.95
cat,0.96,0.96,0.96
cbk,0.75,0.73,0.74
cdo,1.0,0.97,0.98
ceb,1.0,1.0,1.0
ces,0.99,0.98,0.98
che,1.0,0.98,0.99
chr,0.94,0.54,0.69
chv,0.99,0.97,0.98
ckb,0.97,0.97,0.97
cor,1.0,0.99,0.99
cos,0.99,0.94,0.96
crh,0.96,0.91,0.94
csb,0.99,0.98,0.98
cym,1.0,0.99,0.99
dan,0.96,0.98,0.97
deu,0.73,0.9,0.81
diq,0.97,0.97,0.97
div,0.87,0.26,0.4
dsb,0.9,0.97,0.94
dty,0.81,0.83,0.82
egl,0.96,0.94,0.95
ell,0.99,0.99,0.99
eng,0.58,0.81,0.68
epo,0.94,0.98,0.96
est,0.96,0.97,0.96
eus,1.0,0.99,0.99
ext,0.94,0.95,0.95
fao,0.99,0.98,0.98
fas,0.93,0.86,0.89
fin,0.97,0.99,0.98
fra,0.75,0.84,0.8
frp,0.91,0.92,0.92
fry,1.0,0.98,0.99
fur,0.98,0.94,0.96
gag,0.92,0.92,0.92
gla,0.99,0.96,0.98
gle,0.98,0.98,0.98
glg,0.96,0.97,0.97
glk,0.82,0.93,0.87
glv,0.98,0.98,0.98
grn,1.0,0.96,0.98
guj,1.0,0.97,0.98
hak,0.99,0.97,0.98
hat,1.0,0.98,0.99
hau,1.0,0.98,0.99
hbs,0.54,0.55,0.55
heb,1.0,0.99,1.0
hif,0.91,0.93,0.92
hin,0.97,0.95,0.96
hrv,0.69,0.4,0.51
hsb,0.98,0.91,0.94
hun,0.95,0.99,0.97
hye,1.0,0.98,0.99
ibo,0.97,0.9,0.93
ido,1.0,0.98,0.99
ile,0.98,0.91,0.95
ilo,0.96,0.95,0.96
