lang,precision,recall,f1-score
ace,0.97,0.97,0.97
afr,0.98,0.99,0.98
als,0.81,0.78,0.79
amh,0.95,0.97,0.96
ang,0.96,0.94,0.95
ara,0.92,0.94,0.93
arg,0.98,0.98,0.98
arz,0.93,0.92,0.93
asm,0.98,0.97,0.97
ast,0.97,0.96,0.96
ava,0.8,0.8,0.8
aym,0.93,0.92,0.93
azb,1.0,1.0,1.0
aze,0.99,0.96,0.98
bak,0.97,0.98,0.97
bar,0.88,0.9,0.89
bcl,0.91,0.92,0.92
be-tarask,0.78,0.64,0.7
bel,0.68,0.8,0.74
ben,0.96,0.95,0.95
bho,0.94,0.92,0.93
bjn,0.9,0.82,0.86
bod,1.0,1.0,1.0
bos,0.6,0.58,0.59
bpy,1.0,0.98,0.99
bre,1.0,0.99,0.99
bul,0.98,0.97,0.97
bxr,0.92,0.89,0.9
cat,0.97,0.96,0.96
cbk,0.83,0.84,0.84
cdo,0.96,0.95,0.95
ceb,1.0,0.99,0.99
ces,0.99,0.96,0.97
che,0.99,0.97,0.98
chr,0.99,0.98,0.99
chv,0.97,0.97,0.97
ckb,0.98,0.98,0.98
cor,0.98,0.97,0.98
cos,0.87,0.9,0.89
crh,0.92,0.91,0.92
csb,0.98,0.98,0.98
cym,0.98,0.97,0.97
dan,0.97,0.97,0.97
deu,0.9,0.93,0.92
diq,0.94,0.92,0.93
div,0.97,0.99,0.98
dsb,0.81,0.87,0.84
dty,0.73,0.79,0.76
egl,0.83,0.91,0.87
ell,0.99,0.99,0.99
eng,0.72,0.84,0.78
epo,0.94,0.96,0.95
est,0.95,0.99,0.97
eus,0.99,0.99,0.99
ext,0.83,0.89,0.86
fao,0.92,0.93,0.92
fas,0.93,0.91,0.92
fin,0.98,0.97,0.97
fra,0.87,0.86,0.86
frp,0.87,0.87,0.87
fry,0.97,0.98,0.97
fur,0.9,0.87,0.88
gag,0.91,0.94,0.92
gla,0.97,0.95,0.96
gle,0.97,0.96,0.96
glg,0.97,0.97,0.97
glk,0.83,0.87,0.85
glv,0.95,0.97,0.96
grn,0.97,0.96,0.96
guj,0.99,0.98,0.98
hak,0.92,0.93,0.92
hat,1.0,0.98,0.99
hau,0.91,0.93,0.92
hbs,0.59,0.51,0.55
heb,1.0,0.99,0.99
hif,0.88,0.91,0.9
hin,0.93,0.94,0.94
hrv,0.53,0.63,0.58
hsb,0.88,0.84,0.86
hun,0.99,0.99,0.99
hye,0.98,0.98,0.98
ibo,0.91,0.9,0.91
ido,0.98,0.96,0.97
ile,0.93,0.91,0.92
ilo,0.95,0.94,0.94
ina,0.87,0.92,0.9
ind,0.81,0.87,0.84
