lang,precision,recall,f1-score
ace,0.99,0.98,0.98
afr,0.99,0.96,0.98
als,0.76,0.92,0.83
amh,1.0,0.99,0.99
ang,0.95,0.92,0.93
ara,0.94,0.96,0.95
arg,0.82,0.89,0.86
arz,0.96,0.95,0.95
asm,0.99,0.97,0.98
ast,0.89,0.73,0.8
ava,0.88,0.8,0.84
aym,0.96,0.93,0.95
azb,0.99,0.97,0.98
aze,0.96,0.97,0.97
bak,1.0,0.94,0.97
bar,0.95,0.71,0.81
bcl,0.97,0.93,0.95
be-tarask,0.98,0.73,0.84
bel,0.76,0.98,0.85
ben,0.96,0.93,0.95
bho,0.96,0.94,0.95
bjn,0.92,0.89,0.9
bod,1.0,0.99,1.0
bos,0.6,0.55,0.58
bpy,0.99,0.98,0.99
bre,1.0,0.97,0.98
bul,0.98,0.96,0.97
bxr,0.96,0.91,0.94
cat,0.92,0.94,0.93
cbk,0.64,0.86,0.74
cdo,0.98,0.98,0.98
ceb,0.99,0.99,0.99
ces,0.96,0.97,0.96
che,0.99,0.99,0.99
chr,0.99,0.95,0.97
chv,0.99,0.97,0.98
ckb,1.0,1.0,1.0
cor,1.0,0.98,0.99
cos,0.97,0.89,0.93
crh,0.98,0.85,0.91
csb,0.98,0.97,0.97
cym,1.0,0.99,0.99
dan,0.94,0.97,0.95
deu,0.81,0.86,0.84
diq,0.96,0.96,0.96
div,0.97,0.99,0.98
dsb,0.75,0.97,0.84
dty,0.86,0.81,0.83
egl,0.85,0.91,0.88
ell,0.99,0.99,0.99
eng,0.53,0.88,0.66
epo,0.96,0.97,0.96
est,0.95,0.97,0.96
eus,1.0,0.99,0.99
ext,0.81,0.88,0.84
fao,0.98,0.94,0.96
fas,0.93,0.93,0.93
fin,0.94,0.99,0.96
fra,0.75,0.9,0.82
frp,0.84,0.89,0.87
fry,0.99,0.95,0.97
fur,0.94,0.9,0.92
gag,0.84,0.92,0.88
gla,0.99,0.97,0.98
gle,0.98,0.98,0.98
glg,1.0,0.93,0.96
glk,0.85,0.9,0.87
glv,0.96,0.98,0.97
grn,1.0,0.96,0.98
guj,0.99,0.97,0.98
hak,0.95,0.95,0.95
hat,1.0,0.97,0.99
hau,1.0,0.98,0.99
hbs,0.47,0.65,0.55
heb,1.0,1.0,1.0
hif,0.95,0.89,0.92
hin,0.95,0.97,0.96
hrv,0.66,0.47,0.55
hsb,0.94,0.8,0.87
hun,0.98,0.97,0.97
hye,0.99,0.97,0.98
ibo,0.94,0.9,0.92
ido,0.98,0.94,0.96
ile,0.97,0.86,0.91
ilo,0.94,0.95,0.95
ina,0.81,0.96,0.88
ind,0.69,0.89,0.78
isl,0.95,0.99,0.97
ita,0.84,0.94,0.89
jam,0.98,0.97,0.98
jav,0.95,0.91,0.93
jbo,0.99,1.0,0.99
jpn,0.98,0.99,0.99
kaa,0.98,0.97,0.97
kab,0.95,0.95,0.95
kan,0.99,0.97,0.98
kat,0.98,0.98,0.98
kaz,0.98,0.99,0.99
kbd,1.0,1.0,1.0
khm,0.96,0.93,0.94
kin,0.9,0.93,0.92
kir,1.0,0.99,0.99
koi,0.85,0.86,0.86
kok,0.93,0.95,0.94
kom,0.89,0.84,0.86
kor,0.99,0.99,0.99
krc,0.98,0.96,0.97
ksh,0.93,0.9,0.91
kur,0.97,0.96,0.97
lad,0.94,0.91,0.92
lao,0.94,0.94,0.94
lat,0.87,0.91,0.89
lav,0.97,0.97,0.97
lez,0.98,0.95,0.96
lij,0.85,0.97,0.9
lim,0.96,0.86,0.91
lin,0.98,0.92,0.95
lit,0.98,0.98,0.98
lmo,0.79,0.85,0.82
lrc,0.94,0.9,0.92
ltg,0.99,0.97,0.98
ltz,0.91,0.81,0.86
lug,0.96,0.95,0.96
lzh,0.95,0.97,0.96
mai,0.96,0.92,0.94
mal,1.0,0.99,0.99
map-bms,0.95,0.74,0.83
mar,1.0,0.95,0.97
mdf,0.96,0.92,0.94
mhr,0.92,0.93,0.92
min,0.98,1.0,0.99
mkd,0.99,0.98,0.98
mlg,1.0,1.0,1.0
mlt,0.96,0.97,0.97
mon,0.97,0.99,0.98
mri,1.0,0.99,0.99
mrj,0.96,0.98,0.97
msa,0.91,0.86,0.88
mwl,0.97,0.94,0.95
mya,1.0,0.99,1.0
myv,0.78,0.8,0.79
mzn,0.97,0.92,0.94
,0.99,0.98,0.98
nap,0.99,0.82,0.89
nav,1.0,1.0,1.0
nci,0.94,0.94,0.94
nds,0.85,0.95,0.9
nds-nl,0.84,0.86,0.85
nep,0.84,0.86,0.85
new,0.99,0.98,0.98
nld,0.86,0.94,0.9
nno,0.95,0.97,0.96
nob,0.97,0.92,0.94
nrm,0.99,0.9,0.94
nso,0.91,0.96,0.93
oci,0.88,0.75,0.81
olo,0.97,0.94,0.96
ori,0.99,0.97,0.98
orm,0.98,0.96,0.97
oss,1.0,1.0,1.0
pag,0.96,0.89,0.92
pam,0.85,0.94,0.9
pan,1.0,0.98,0.99
pap,0.98,0.9,0.94
pcd,0.67,0.79,0.72
pdc,0.75,0.82,0.78
pfl,0.83,0.88,0.85
pnb,0.99,0.98,0.99
pol,0.95,0.99,0.97
por,0.87,0.95,0.91
pus,0.98,0.95,0.97
que,0.96,0.95,0.95
roa-tara,0.96,0.95,0.96
roh,0.91,0.91,0.91
ron,0.95,0.98,0.97
rue,0.97,0.94,0.95
rup,0.86,0.9,0.88
rus,0.74,0.96,0.83
sah,0.99,0.96,0.98
san,0.97,0.99,0.98
scn,0.95,0.95,0.95
sco,0.77,0.94,0.85
sgs,1.0,0.99,0.99
sin,0.99,0.95,0.97
slk,0.97,0.97,0.97
slv,1.0,0.96,0.98
sme,0.98,0.95,0.96
sna,0.92,0.96,0.94
snd,1.0,0.99,0.99
som,0.96,0.96,0.96
spa,0.78,0.68,0.73
sqi,0.99,0.97,0.98
srd,0.93,0.92,0.93
srn,0.98,0.95,0.96
srp,0.96,0.91,0.94
stq,0.99,0.9,0.95
sun,1.0,0.94,0.97
swa,0.96,0.95,0.95
swe,0.97,0.99,0.98
szl,1.0,0.9,0.95
tam,0.99,0.98,0.99
tat,0.92,0.96,0.94
tcy,0.98,0.99,0.98
tel,0.98,0.97,0.97
tet,0.95,0.9,0.92
tgk,0.99,0.97,0.98
tgl,0.97,0.98,0.98
tha,0.97,0.96,0.96
ton,1.0,0.99,0.99
tsn,0.98,0.95,0.96
tuk,0.98,0.98,0.98
tur,0.89,0.95,0.92
tyv,0.98,0.94,0.96
udm,0.97,0.95,0.96
uig,1.0,0.98,0.99
ukr,0.96,0.98,0.97
urd,0.98,0.98,0.98
uzb,0.99,0.99,0.99
vec,0.95,0.85,0.9
vep,0.94,0.98,0.96
vie,0.99,0.97,0.98
vls,0.94,0.8,0.87
vol,0.99,0.98,0.98
vro,0.99,0.94,0.97
war,0.99,1.0,0.99
wln,0.97,0.93,0.95
wol,0.95,0.95,0.95
wuu,0.92,0.9,0.91
xho,0.99,0.92,0.96
xmf,1.0,0.96,0.98
yid,1.0,0.98,0.99
yor,0.93,0.9,0.92
zea,0.79,0.92,0.85
zh-yue,0.95,0.9,0.93
zho,0.91,0.94,0.92
accuracy,0.93,0.93,0.93
macro avg,0.94,0.93,0.93
weighted avg,0.94,0.93,0.93
