lang,precision,recall,f1-score
ace,0.98,0.98,0.98
afr,0.99,0.99,0.99
als,0.87,0.91,0.89
amh,0.99,0.99,0.99
ang,0.97,0.95,0.96
ara,0.94,0.98,0.96
arg,0.97,0.98,0.98
arz,0.97,0.95,0.96
asm,0.98,0.97,0.97
ast,0.94,0.94,0.94
ava,0.81,0.89,0.85
aym,0.95,0.95,0.95
azb,0.99,0.99,0.99
aze,0.98,0.98,0.98
bak,0.96,0.96,0.96
bar,0.87,0.91,0.89
bcl,0.98,0.95,0.97
be-tarask,0.93,0.9,0.92
bel,0.9,0.93,0.91
ben,0.95,0.94,0.94
bho,0.95,0.95,0.95
bjn,0.95,0.92,0.94
bod,1.0,0.99,1.0
bos,0.56,0.56,0.56
bpy,1.0,1.0,1.0
bre,1.0,0.98,0.99
bul,0.99,0.96,0.97
bxr,0.94,0.93,0.94
cat,0.94,0.96,0.95
cbk,0.85,0.86,0.85
cdo,1.0,0.99,0.99
ceb,0.99,1.0,1.0
ces,0.99,0.98,0.98
che,1.0,0.99,1.0
chr,0.98,0.97,0.98
chv,0.97,0.97,0.97
ckb,1.0,1.0,1.0
cor,0.99,0.98,0.98
cos,0.96,0.96,0.96
crh,0.97,0.97,0.97
csb,0.98,0.99,0.98
cym,0.99,0.99,0.99
dan,0.97,0.98,0.98
deu,0.88,0.92,0.9
diq,0.93,0.98,0.95
div,0.98,0.99,0.98
dsb,0.94,0.96,0.95
dty,0.95,0.81,0.88
egl,0.97,0.95,0.96
ell,1.0,0.99,0.99
eng,0.64,0.9,0.75
epo,0.99,0.97,0.98
est,0.95,0.98,0.97
eus,1.0,1.0,1.0
ext,0.94,0.94,0.94
fao,0.99,0.98,0.98
fas,0.89,0.99,0.94
fin,0.98,0.99,0.99
fra,0.83,0.88,0.86
frp,0.96,0.95,0.95
fry,0.99,0.98,0.99
fur,0.97,0.94,0.95
gag,0.96,0.94,0.95
gla,0.98,0.97,0.98
gle,0.98,0.98,0.98
glg,0.98,0.96,0.97
glk,0.97,0.9,0.93
glv,1.0,0.99,0.99
grn,1.0,0.98,0.99
guj,0.98,0.98,0.98
hak,0.98,0.95,0.96
hat,1.0,0.98,0.99
hau,1.0,0.98,0.99
hbs,0.49,0.56,0.52
heb,0.99,1.0,1.0
hif,0.94,0.93,0.93
hin,0.95,0.97,0.96
hrv,0.6,0.54,0.57
hsb,0.95,0.93,0.94
hun,0.99,0.99,0.99
hye,0.99,0.98,0.99
ibo,0.97,0.93,0.95
ido,0.98,0.98,0.98
ile,0.97,0.96,0.97
ilo,0.96,0.97,0.97
ina,0.97,0.97,0.97
ind,0.83,0.9,0.86
isl,0.97,0.99,0.98
ita,0.92,0.97,0.95
jam,0.99,0.98,0.98
jav,0.95,0.93,0.94
jbo,1.0,1.0,1.0
jpn,0.97,0.99,0.98
kaa,0.99,0.97,0.98
kab,0.95,0.96,0.96
kan,1.0,0.98,0.99
kat,0.99,0.98,0.98
kaz,0.99,0.99,0.99
kbd,1.0,0.99,1.0
khm,0.97,0.94,0.95
kin,0.95,0.97,0.96
kir,0.99,0.99,0.99
koi,0.9,0.88,0.89
kok,0.98,0.97,0.97
kom,0.89,0.9,0.9
kor,1.0,0.99,1.0
krc,0.98,0.97,0.97
ksh,0.96,0.93,0.95
kur,0.99,0.96,0.98
lad,0.95,0.96,0.95
lao,0.95,0.93,0.94
lat,0.93,0.95,0.94
lav,0.99,0.98,0.98
lez,0.97,0.96,0.96
lij,0.97,0.96,0.96
lim,0.96,0.96,0.96
lin,0.94,0.95,0.94
lit,0.97,0.99,0.98
lmo,0.93,0.93,0.93
lrc,0.99,0.91,0.95
ltg,0.99,0.98,0.98
ltz,0.96,0.94,0.95
lug,0.99,0.96,0.97
lzh,0.97,0.98,0.98
mai,0.99,0.94,0.96
mal,1.0,0.99,0.99
map-bms,0.9,0.83,0.86
mar,0.99,0.98,0.98
mdf,0.96,0.94,0.95
mhr,0.94,0.96,0.95
min,0.99,1.0,1.0
mkd,0.99,0.98,0.99
mlg,1.0,1.0,1.0
mlt,0.98,0.99,0.99
mon,0.98,1.0,0.99
mri,1.0,0.99,0.99
mrj,0.99,0.97,0.98
msa,0.93,0.94,0.93
mwl,0.98,0.99,0.98
mya,1.0,1.0,1.0
myv,0.89,0.9,0.89
mzn,0.96,0.97,0.96
nan,0.99,0.99,0.99
nap,0.97,0.96,0.96
nav,1.0,1.0,1.0
nci,0.96,0.97,0.97
nds,0.98,0.96,0.97
nds-nl,0.95,0.93,0.94
nep,0.84,0.95,0.89
new,0.99,0.99,0.99
nld,0.95,0.98,0.97
nno,0.97,0.98,0.97
nob,0.98,0.96,0.97
nrm,0.96,0.97,0.97
nso,0.96,0.96,0.96
oci,0.91,0.88,0.9
olo,0.99,0.98,0.98
ori,0.98,0.97,0.97
orm,0.98,0.97,0.98
oss,1.0,1.0,1.0
pag,0.98,0.9,0.94
pam,0.95,0.94,0.95
pan,1.0,0.99,0.99
pap,0.99,0.96,0.97
pcd,0.8,0.79,0.8
pdc,0.87,0.85,0.86
pfl,0.86,0.86,0.86
pnb,1.0,0.98,0.99
pol,0.99,0.99,0.99
por,0.92,0.98,0.95
pus,1.0,0.96,0.98
que,0.98,0.96,0.97
roa-tara,0.97,0.96,0.96
roh,0.97,0.96,0.96
ron,0.98,0.99,0.99
rue,0.98,0.96,0.97
rup,0.96,0.91,0.94
rus,0.83,0.95,0.88
sah,1.0,0.98,0.99
san,0.99,0.99,0.99
scn,0.97,0.97,0.97
sco,0.98,0.98,0.98
sgs,1.0,1.0,1.0
sin,0.99,0.96,0.98
slk,0.98,0.99,0.99
slv,0.97,0.98,0.98
sme,0.99,0.98,0.98
sna,0.93,0.98,0.95
snd,1.0,0.99,0.99
som,0.98,0.98,0.98
spa,0.85,0.85,0.85
sqi,0.99,0.99,0.99
srd,0.97,0.96,0.96
srn,0.99,0.98,0.98
srp,0.94,0.92,0.93
stq,0.99,0.97,0.98
sun,0.99,0.96,0.97
swa,0.93,0.96,0.95
swe,0.99,1.0,0.99
szl,0.99,0.98,0.99
tam,0.99,0.99,0.99
tat,0.96,0.97,0.97
tcy,0.99,1.0,1.0
tel,0.99,0.97,0.98
tet,0.97,0.94,0.95
tgk,0.99,0.98,0.99
tgl,0.97,0.99,0.98
tha,0.96,0.97,0.96
ton,0.99,0.99,0.99
tsn,0.97,0.97,0.97
tuk,0.98,0.99,0.98
tur,0.95,0.98,0.96
tyv,0.98,0.97,0.98
udm,0.99,0.97,0.98
uig,1.0,0.99,1.0
ukr,0.98,0.98,0.98
urd,0.99,0.99,0.99
uzb,0.99,0.99,0.99
vec,0.94,0.94,0.94
vep,0.97,0.99,0.98
vie,1.0,0.99,0.99
vls,0.93,0.92,0.93
vol,1.0,0.99,0.99
vro,0.98,0.97,0.97
war,0.99,1.0,1.0
wln,0.98,0.98,0.98
wol,0.96,0.97,0.97
wuu,0.95,0.91,0.93
xho,0.97,0.95,0.96
xmf,1.0,0.97,0.98
yid,0.99,0.98,0.99
yor,0.92,0.93,0.92
zea,0.9,0.95,0.92
zh-yue,0.93,0.93,0.93
zho,0.93,0.98,0.95
accuracy,0.96,0.96,0.96
macro avg,0.96,0.96,0.96
weighted avg,0.96,0.96,0.96
