Paragraph,True lang,Predicted lang
Mahadum Obodo nke Yang-Ming(nke adila akpo National Yang Ming College of Medicine) bu mahadum ndi ochichi obodo ana-kpo Taiwan kere. Ono ebe bu isi ala ahu; aha ebe ahu bu Taipei.,ibo,hif
"Argentina hevur kravt rættin til Falklandsoyggjar síðan bretar hertóku tær í 1833. Í 1982 gjørdu argentiskar herdeildir innrás á oyggjunum, men vórðu riknar avstað aftur av bretum eftir kríggj í tveir mánaðir.",fao,isl
"1947 ඉන්දියාව නිදහස ලැබීමෙන් පසු මදුරාසි පාලන ප්‍රදේශය මදුරාසි ජනපදය බවට පරිවර්තනය වුනි. එයට වර්තමාන තමිල්නාඩුව ,වෙරළ බඩ ආන්ද්‍රා ප්‍රදේශය , උතුරු කේරලය සහ කර්ණාටක ප්‍රාන්තයේ නිරිත දිග වෙරළ ප්‍රදේශ අයත්විය.",sin,chr
"A la fì del XII sècol cumensa a furmàs la sità basa e l'è cüstrüit ol palàss de la régiù. Po a Bêrgum gh'è di beghe fra i Guelfi e Ghibellini, i Colleoni in di guelfi e i Suardi in di ghibellini. Al guèr stral dåu famàj i tàchen coi Suardi chi vénzen i Visconti ed Milàn. Int'al 1335 i tôlen al castèl ed san Vile.",egl,lmo
"Poslije prvih proba sa nuklearnim oružjem, sovjetski inžinjeri su shvatili da T-54 može izdržati 2-15 kt nuklearnog udara na udaljenosti 300 m od epicentra. Posada bi za takvu snagu eksplozije imala mogućnost preživljavanja ako se nalazi dalje od 700 m od epicentra. Tako je odlučeno da se napravi zaštita od radijacije koja bi se aktivirala 0.3 sekunde nakon otkrivanja gama zračenja. Predloženo je da se mijenja dizajn tenka i dodaju nove tehnologije. Mnoge promjene su testirane i ranije na T-54M (Ob'yekt 139). Tenk je pokretao novi V-55 12-cilindrični 38,88 litreni vodom hlađeni dizel motor koji razvija maksimalnih 581 KS (433 kW). Poboljšan je pristup motoru, čime su se olakšali popravci. Da bi povećali kapacitet spremnika goriva za 300 litara postavljen je još jedan spremnik unutar prednje strane tenka čime se ukupan kapacitet povećao na 680 litara. Borbeni komplet je povećan sa 34 na 45 granata, od kojih je 18 smješteno u takozvanim mokrim spremnicima u prednjm dijelu kupole. Borbeni komplet sastojao se od visoko eksplozivnih granata i protutenkovskih granata, a bilo je planiranio da tenk nosi i BK5M HEAT granate koja može probiti 390 mm čeličnog oklopa. Mitraljez 12.7 mm je uklonjem sa tenka zbog nemogućnosti gađanja brzih mlaznih aviona. Tenk je trebao biti opremljen sa ""Rosa"" aktivnim sistemom zaštite. Tenk je imao i deblji oklop na kupoli i opremu za dijelovanje noću. Kako bi se smanjila težina tenka koji je zbog nove opreme znatno teži, stavljen je tanji oklop sa stražnje strane tenka. T-55 je bio bolji od IS-2 tenka, uključujući i brzinu paljbe (najmanje četiri granate u susporedbi sa manje tri u minuti). Teški sovjetski tenkovi su postali znatno lošiji u odnosu na T-55 tenk. Izraz srednje teški tenk zamijenio se sa izrazom glavni borbeni tenk. Ušao je u službu Crvene armije 8. maja 1958. godine.ref name=""Sewell, p.27""/>",bos,hrv
"Phepo ya tlase gantši e bakwa ke go hloka go ja dijo tša phepo e botse. Se gantši se nyalelana le theko ya godimo ya dijo le bohloki. Go se nyantšhe letswele go ka oketša, bjale ka palo ya malwetši a phetelo go swana le: letšhologo, nyumonia, malaria le mooko tše di oketšago dinyakwa tša phepo. Go na le mehuta ye mebedi ya phepo ya tlase: phepompe ya protine-enetši le ditlhaelo tša phepho. Phepompe ya protine-enetši e na le mehuta ye mebedi e šoro: marasmase (tlhokego ya protine le dikalori) le kwašiokoro (tlhokego ya protine fela). Ditlhaelo tša phepo ya maekro tše tlwaelegilego di akaretša: tlhokego ya madi, iodine le vitamine A. Ka nako ya boimana, ka ge e nyakega kudu, tlhaelo e tlwaelegile. Go dinaga tše di tšwetšwago pele phepofetišo ya mohuta wa gonona e thoma go tšwelela bjalo ka phepo ya tlase. Mabaka a mangwe a go baka phepompe a akaretša anorexia nervosa (go itima dijo) le puo ya bariatric. Go batšofe phepompe e tlwaelegile ka lebaka la maemo a popego, saekholotši le leago.",nso,tsn
"Durante la temporada que transcurrió entre el fin del mandato de Lorin Maazel y el principio del de Riccardo Chailly, la orquesta no tuvo ningún director principal. Entre los directores más célebres que colaboraron con la orquesta durante ese periodo, entre el año 1976 y 1982, estuvieron Erich Leinsdorf, Eugen Jochum, Gerd Albrecht, Gennady Rozhdestvensky y Neville Marriner.",spa,fin
"К статистике землеустройства в годы аграрной реформы Столыпина (1907–1915 гг.) // Экономическая история: обозрение. М.: Изд-во МГУ, 2012. Вып. 16.",yid,sah
"डोटी वोगटान क्षेत्रमा रहेका मल्लहरुको वंशावली अनुसार डोटी जोरायलबाट वोगटान गएको र समैजी कुलदेवता भनिएको छ । जोरायलबाट गएको भन्नेकुरा सुब्बा दिलिपसिह र देव बहादुर मल्लबाट प्राप्त वंशावली भनेर पूर्णप्रकाश नेपाल यात्रीद्वारा लेखिएको र २०३५ सालमा प्रकाशन भएको, सेती अञ्चल दिग्दर्शनको पेज नं २८९/२९०मा हेर्दा र पढदा पनि स्पष्ट हुन्छ । वर्तमानमापनि जोरायलमा शौनक गोत्रका मल्ल धेरै छन् । जोरायलमा बसोबास गर्ने सबै मल्लहरुका कुलदेवता समैजी हुन् । यी जोरायलका मल्लहरु आफू नागी मल्ल वंशज भएको र डोटी पचनालीबाट आएको दावी गर्दछन् । यो विषय विवादित छ | यो दाबी प्रमाणित हुँदैन | यिनले जे भने पनि जोरायलका समैजी कुलदेवता भएका शौनक गोत्रीय , सूर्यवंशी रावल (मल्ल ) कत्युरी राजाका वंशज हुन् | कत्युरी रावल हुन् | रावल राज्पुत्रको प्रयाबाची शब्द हो | बिगतका केहि कमजोरीले यी बिबादित बनेका हुन् | पूर्खेउली वैवाहिक सम्बन्ध सहित चारैकोणबाट अध्ययन गर्नु पर्दछ । यसबाट सत्यता पुष्टि हुन्छ । डोटी बोगटान का मल्लको उपल्लो वोगटानका बमसँग वैवाहिक सम्बन्ध पहिले देखिनै थियो । अझै पनि छ, तर तल्लो वोगटानका बम ठकुरीहरुको वैवाहिक सम्बन्ध डोटीका शाही/शाह र पचनाली क्षेत्रका मल्ल, डौडका सिहसँग पहिले देखि थियो । अहिले केही समय यता आएर वोगटानका मल्लसँग पनि फाट फुट भएको छ । समैजी, केदार, मोहन्यालसँग यी डोटी वोगटानका मल्ल सम्बन्धित भएकाले वोगटानका ठकुरीहरुका भाइ सन्तान अन्तरगतका मल्ल हुँन् सक्ने देखिन्छ, । जे जस्तो देवता भएपनि वोगटान क्षेत्रको वुढाकोट, घाङल, चवाला, विठाडा र पण्डौन क्षेत्रका मल्लहरु ठकुरी कहलिन्छन् । पण्डौनी मल्लहरु अन्य मल्ल भन्दा आफू फरक रहेको बताउँछन् । पण्डौनका मल्लहरु कैलालीको भजनी, निम्दी, मुनुवा क्षेत्रमा छन् । घाङलीमल्ल निमुवावोझी, मुडामा बस्छन् । चवालाका मल्ल दोधारा, वरहडिया, मुडा, वौनिया, हरिनगरमा बस्छन् । विठाडावाला मल्ल वौनिया, सरैया, देउकलिया क्षेत्रमा बस्छन् । शौनक गोत्रीय समैजी कुलदेवता भएका मल्लको बसोबास क्षेत्रहरु : डोटी जोरायल खार, सेकुनीका मल्लका कुलदेवता भाडिको समैजी , खैगाड़को समैजी ,भेटा समैजी छन् | डडेल्धुराको चम्साल, कोटकाँडे, पिल्कोट , गुनपालक्षेत्रमा बसोबास गर्ने मल्ल अलाड़क्षेत्रमा बसोबास गर्ने सिंह ,बमका कुलदेवता विभिन्न नामका समैजी छन् |",nep,dty
"Ran benit peroe dae una familia chi at fatu su politziòtu pro generatziones, difatis sos parentes e frade suo Yamato sun in politzìa, mentras sa sorre minore, dae sende minore, no bìet s'ora de sichire sa traditzione de familia; Ran invetzes, comente si podet immaginare, tenet atera cosa in conca pro su benidore suo, mancari apat picàu dae mannos suos su sentidu 'e justitzia familiare.",srd,lij
