sentence,lang
"У филипикама он је отворено нападао Филипа II, називајући га барбарином (као што су Грци у то време називали све не-грке) указавајући тиме Атињанима да Филип није грчког порекла.",srp
Споразум Цветковић—Мачек је био споразум између представника Владе Краљевине Југославије Драгише Цветковића и вође хрватске опозиције Влатка Мачека.,srp
"Srećko Puntarić (Zagreb, 19. svibnja 1952.), hrvatski karikaturist, najutjecajniji hrvatskih karikaturist s kraja 20. i početka 21. stoljeća. Najpoznatiji po karikaturama Felixa objavljenih u Večernjem listu i Glasu Koncila. Najpoznatiji hrvatski karikaturist na području kršćanske tematike.",hrv
"Smrtna kazna danas je izvršavana brojnim metodama. SAD-u je donedavno električna stolica bila najčešće korištena metoda, a od 2000. godine češće se koristi tzv. smrtonosna injekcija. Većinom su zemlje smrtne kazne islamske šerijatskih teokratskih zakona. Tu su metode vješanje, javno bičevanje, kamenovanje i druge bolnije metode.",hrv
"1898. — Потписивањем протокола, којим је Шпанија уступила САД Кубу и Порторико, завршен Шпанско-амерички рат. САД истовремено анектирале Хаваје.",srp
"Do osmanlijskog zauzimanja Bosne, pa zatim i Hercegovine, srednjovjekovna bosanska država imala je stalne dodire sa srednjom Europom i Italijom, poglavito preko Dubrovnika. U to doba u crkvama i samostanima te na dvorovima velikaša, banova i kraljeva postoje začetci glazbene umjetnosti. Prvi izvori o bosanskim umjetnicima, sviračima i plesačima hrvatske krvi i imena nađeni su u Dubrovačkom arhivu iz početka XV. stoljeća. Herceg Stjepan Vukčić Kosača imao je na svom dvoru godine 1442. čitav orkestar frulaša, a u njegovoj oporuci stoji da je imao i orgulje, vjerojatno prve na području Bosne i Hercegovine. O crkvenoj glazbi, poglavito onoj Crkve bosanske nema nikakvih podataka.",hrv
"Mnoge velike kompanije koje nisu internet servis provajderi moraju stalno biti povezane sa internetom kako bi mogle da razmenjuju podatke, e-mail itd. Kompanije mogu preko svog veb-sajta takođe dati i informacije o uslugama koje pružaju.",srp
"• Cirkumfleks (accent circonflexe) se stavlja iznad svih samoglasnika, izuzev y: pâle, tête, dîne, diplôme, sûr. Uloga ovog akcenta nije jednostavna: â ima vrijednost tzv. Zadnjeg a; ê ima vrijednost otvorenog e; ô ima vrijednost zatvorenog o. Iznad ostala dva slova piše se kad to zahtjeva tradicija. Samo u nekim slušajevima služi za razlikovanje riječi: cru (vjerovao, mislio) – crû (rastao, porastao)",bos
"Купка на бази тиоурее је осим тога и прилично отровна, надаље тиоуреа је канцероген спој, па би предност требало дати тиосулфатним растворима, које су у поређењу са овима релативно неопасни.",srp
"Народноослободилачку борбу на Косову и Метохији водили су заједно југословенски и албански партизани против италијанских и немачких окупатора и албанских балиста. План је био да се након рата Косово прикључи Албанији, а НР Албанија са Југославијом уђе у федерацију, што услед раскида Тита и Стаљина није остварено.",srp
"1959: Talj – Smislov – Talj inicira komplikacije na početku partije i dolazi do snažnog napada. Smislov se dobro brani, ali posrće nakon jednog pogrešnog poteza i Talj zadaje pobjednički taktički udarac.",bos
"Također mislilo se da je ime albuma referenca na INXS-ov album X, koji je objavljen dok je Minogue izlazila s Michaelom Hutchenceom. Na albumu je pjesma ""Suicide Blonde"" za koju se mislilo da je o Kylie.",hrv
"U Japanu je izdana drugačija inačica albuma. Na albumu je uređenih 15 pjesama i dvije bonus pjesme, ""King or Queen"" i ""I Don't Know What It Is"", B-strane singla ""2 Hearts"".",hrv
"Оснивање Бановинске женска занатска школа за уметничке радове Ниш, ликовно стваралоштво у Нишу и Југоаисточној Србији добило је једну изузетно вредну компоненту, која је својим педагошким радом и изложбама ученица школе утицала на све активнији културни живот у граду између два светска рата.",srp
"Svjetska mora pokrivaju oko 70% Zemljine površine, što ih čini najvećim životnim prostorom. Košljoribe koje žive u gornjem sloj, do dubine od 200 metara, čine samo nešto više od 1% svih vrsta. U tom dijelu morskih ekosistema žive uglavnom vrste iz porodica skuša (Scombridae) i lastavica-poletuša (Exocoetidae). Slijedećih 5% ovih riba žive pelagijalno, na dubini većoj od 200 metara. To su većim dijelom ribe iz reda sleđevki Clupeiformes (sleđevi) i porodice Myctophidae. Najviše morskih košljoriba glavninom se zadržava u blizini obala. U hladnim obalnim vodama žive uglavnom mehkušice (Gadidae), jegulje (Anguillidae), bodeljke (Scorpaenidae) i ribe iz podreda babica. Ovaj životni prostor nastanjuje više od 5% vrsta košljoriba. Te vode su veoma bogate hranom, pa se ribe javljaju u vrlo velikim jatima, što ove ekosisteme čini i veoma važnim ribolovnim područjima.",bos
"Molière je bolovao od plućnog oblika tuberkuloze kojom se vjerojatno zarazio kao mladić u zatvoru. Jedan od najpoznatijih trenutaka u njegovom životu je bio onaj zadnji koji je postao legendaran. Tijekom izvođenja svoje posljednje predstave, na pozornici je kolabirao zbog napada kašlja tijekom kojeg je iskašljavao krv (hemoptiza). Predstava je sadržavala rakošne plesne točke uz glazbu skladatelja Marc-Antoine Charpentier koja se ironično zvala ""Le Malade imaginaire"" (""Umišljeni bolesnik""). Molière je inzistirao da završi nastup. Nakon nastupa ponovno je kolabirao nakon ponovnog krvarenja, te je odveden kući, gdje je preminuo nekoliko sati kasnije bez primanja bolesničkog pomazanja, jer dva svećenika su ga odbila, dok je treći došao prekasno. Praznovjerje kako zelena boja glumcima donosi lošu sreću potječe od njegova zadnja nastupa, za vrijeme kojeg je nosio zelenu odjeću.",hrv
Термин Монпарнас потиче из грчке митологије. Тамо је планина Парнас била дом за девет муза заштитница наука и уметности. Ово име су делу Париза дали студенти из 17. века који су овде рецитовали поезију.,srp
Na izborima za Hrvatsko-slavonsko-dalmatinski sabor 1911. kao kandidat Čiste stranke prava ušao je u Hrvatski državni sabor kao pobjednik u izbornom kotaru Senju.,hrv
"Х. Норман Шварцкопф (енгл. H. Norman Schwarzkopf; Трентон, 22. август 1934 — Тампа, 27. децембар 2012) био је генерал Војске Сједињених Држава који је као командант Централне команде Сједињених Држава служио као командујући коалиционих снага у Заливском рату 1991.",srp
"Svoju 900. utakmicu za Milan u zvaničnim takmičenjima odigrao je 17. maja 2009. protiv Udinesea. Posljednji put je pred domaćom publikom igrao na San Siru u porazu od Rome (2–3) 24. maja. Od aktivnog igranja oprostio se 31. maja 2009. u posljednjem kolu prvenstva, na gostovanju kod Fiorentine (2–0).",bos
"Сви млазни мотори су реактивног дејства, стварају потисак емисијом сагорелих гасова, на излазној млазници позади, са релативно великом брзином. На овај начин генеришу реактивну силу потиска, која га гура унапред заједно са авионом, у који је и уграђен.",srp
"S radom je započela 17. kolovoza 2006. stupanjem na snagu Zakona o sigurnosno-obavještajnom sustavu Republike Hrvatske, a sljednica je Vojne sigurnosne agencije (VSA)",hrv
Моара Домњаска (рум. Moara Domnească) је насеље је у Румунији у округу Васлуј у општини Валени. Oпштина се налази на надморској висини од 105 m.,srp
"Za seniorski sastav Winter je debitirao već 6. travnja 1986. protiv Utrechta kojeg ja Ajax pobijedio s visokih 3:0. Sve do odlaska iz kluba 1992. i transfera u rimski Lazio, Winter je s klubom osvojio nizozemsko prvenstvo (1990.), dva domaća kupa (1987. i 1988.) te Kup pobjednika kupova (1987.) i Kup UEFA (1992.).",hrv
"Passepartout je duboko potresen kada je otkrio da je njegov novčanik nestao, da Fogg nije ukrcan na brod, i da se pridružuje jednom cirkusu u Yokohami kako bi sebe potpomogao. Snalažljivi Fogg, u međuvremenu, pronašao je alternativni prijevoz do Yokohame, i pronalazi Passepartouta koji izvodi akrobatsku tačku. Nakon ponovnog ujedinjenja, oni napuštaju Japan,, a britanske novine kasnije izvještavaju da je Fogg stigao u Sjedinjene Američke Države. Putnici se zatiču usred političke kampanje i parade u San Franciscu, u Kaliforniji, gdje Passepartouta privlače neke plesačice u salunu. Nakon što Fogg ulazi unutra kako bi pronašao Passepartouta, prekrasna vlasnica gostionice pokušava da ga zavede, ali njen ljubomorni redar upozorava Fogga da napusti salun, te on i Aouda konačno izvode Passepartouta napolje. Dok Fix čeka na trotoaru, planirajući da im se pridruži u njihovom transkontinentalnom željezničkom putovanju, Fogg, inspirisan sa opasnim likovima koje su susreli u salunu, šalje Passepartouta da kupi pištolje. Kada predvodnik predizborne kampanje po imenu pukovnik Proctor maltretira Aoudu, Fogg ga udara po glavi sa svojim kišobranom, a zatim se izmiče Proctorovoj pesnici, koja udara Fixa. Konačno, sa Passepartoutom opremljenim poput revolveraša, putnici nastavljaju put vlakom, uživajući u krajoliku vesterna, i svjedoci su indijanskog rituala pušenja lule mira. Nakon bezbjednog prelaska nestabilnog mosta preko klanca, Proctor vrijeđa Fogga tokom igre vista i oni izazivaju jedni druge na dvoboj. Međutim, njihova borba je spriječena kada su vlak napali Sioux Indijanci, koji ubijaju mašinovođu i vatrogasca. Dok se Proctor i Fogg bore protiv Indijanaca iz unutrašnjosti vlaka, Passepartout je zarobljen nakon što se penje na krov i iskače kako bi odvratio pažnju plemena od vlaka. Kasnije u Fort Kearneyju, Fogg sakuplja konjicu za spašavanje Passepartouta prije nego što bude spaljen na lomači. Odbijajući čekati cijeli dan na sljedeći vlak, uporni putnici kače veliku platnenu reklamu na željeznički vagon, što ih tada poput broda odvozi niz šine. U Engleskoj, članovi kluba saznaju da su Fogg i njegovi prijatelji stigli u New York City, i pretpostavljaju da je on na putu nazad u Englesku. Carmichael, generalni direktor Lloyda, i inspektor Hunter iz Scotland Yarda, izvještavaju članove kluba da je Fogg dokazani pljačkaš banke i biće uhapšen čim stupi na britansko tlo. Članovi su dodatno razočarani kad su saznali da je Fogg je propustio brod za London te se ukrcao na brod na putu za Venecuelu, koja sa Britanijom nema ugovor o izručenju. Ali nisu znali da je Fogg platio kapetana da preusmjeri parobrod prema Velikoj Britaniji.",bos
Trenersku je karijeru počeo u matičnom Splitu. Sa Solinom je 1974. pobijedio u prvenstvu Dalmatinske lige te nakon kvalifikacija plasirao se u Hrvatsku nogometnu ligu. Solin se u toj ligi uspješno natjecao do ulaska u Drugu Saveznu ligu.,hrv
